id,title,total_books,total_votes
18006496,Best Books Ever,122608,256088
12898,Best Books Ever,122608,256088
50398,Best Books Ever,122608,256088
11324204,Best Books Ever,122608,256088
629,Best Books Ever,122608,256088
13214,Best Books Ever,122608,256088
20613470,Best Books Ever,122608,256088
15645,Best Books Ever,122608,256088
6759,Best Books Ever,122608,256088
5211,Best Books Ever,122608,256088
285092,Best Books Ever,122608,256088
43448,Best Books Ever,122608,256088
12220,Best Books Ever,122608,256088
10664113,Best Books Ever,122608,256088
3985,Best Books Ever,122608,256088
11713,Best Books Ever,122608,256088
1656001,Best Books Ever,122608,256088
15717943,Best Books Ever,122608,256088
41637836,Best Books Ever,122608,256088
17167166,Best Books Ever,122608,256088
5358,Best Books Ever,122608,256088
34080,Best Books Ever,122608,256088
28862,Best Books Ever,122608,256088
394535,Best Books Ever,122608,256088
5308,Best Books Ever,122608,256088
49436,Best Books Ever,122608,256088
14935,Best Books Ever,122608,256088
43889,Best Books Ever,122608,256088
40651883,Best Books Ever,122608,256088
31463,Best Books Ever,122608,256088
18765,Best Books Ever,122608,256088
47401,Best Books Ever,122608,256088
16248068,Best Books Ever,122608,256088
30933,Best Books Ever,122608,256088
23766634,Best Books Ever,122608,256088
17332218,Best Books Ever,122608,256088
40611328,Best Books Ever,122608,256088
7090447,Best Books Ever,122608,256088
21853621,Best Books Ever,122608,256088
31242,Best Books Ever,122608,256088
16101128,Best Books Ever,122608,256088
764347,Best Books Ever,122608,256088
5797,Best Books Ever,122608,256088
9293020,Best Books Ever,122608,256088
77142,Best Books Ever,122608,256088
256566,Best Books Ever,122608,256088
77390,Best Books Ever,122608,256088
10987,Best Books Ever,122608,256088
51737,Best Books Ever,122608,256088
40611510,Best Books Ever,122608,256088
3591262,Best Books Ever,122608,256088
1617,Best Books Ever,122608,256088
12957,Best Books Ever,122608,256088
2866718,Best Books Ever,122608,256088
17675462,Best Books Ever,122608,256088
156538,Best Books Ever,122608,256088
51738,Best Books Ever,122608,256088
8908,Best Books Ever,122608,256088
518848,Best Books Ever,122608,256088
10576365,Best Books Ever,122608,256088
676924,Best Books Ever,122608,256088
41681,Best Books Ever,122608,256088
10194157,Best Books Ever,122608,256088
12497,Best Books Ever,122608,256088
3682,Best Books Ever,122608,256088
15863832,Best Books Ever,122608,256088
5326,Best Books Ever,122608,256088
30528544,Best Books Ever,122608,256088
6969,Best Books Ever,122608,256088
77566,Best Books Ever,122608,256088
6644117,Best Books Ever,122608,256088
2800905,Best Books Ever,122608,256088
6485421,Best Books Ever,122608,256088
7740152,Best Books Ever,122608,256088
690926,Best Books Ever,122608,256088
112204,Best Books Ever,122608,256088
5890,Best Books Ever,122608,256088
4799,Best Books Ever,122608,256088
420282,Best Books Ever,122608,256088
197084,Best Books Ever,122608,256088
8852,Best Books Ever,122608,256088
20820994,Best Books Ever,122608,256088
556602,Best Books Ever,122608,256088
12749,Best Books Ever,122608,256088
52439531,Best Books Ever,122608,256088
30528535,Best Books Ever,122608,256088
8909,Best Books Ever,122608,256088
960,Best Books Ever,122608,256088
51606,Best Books Ever,122608,256088
1625,Best Books Ever,122608,256088
11901,Best Books Ever,122608,256088
8667848,Best Books Ever,122608,256088
4268157,Best Books Ever,122608,256088
70535,Best Books Ever,122608,256088
78411,Best Books Ever,122608,256088
84369,Best Books Ever,122608,256088
8709527,Best Books Ever,122608,256088
1898,Best Books Ever,122608,256088
42900,Best Books Ever,122608,256088
31548,Best Books Ever,122608,256088
4009,Best Books Ever,122608,256088
20448515,Best Books Ever,122608,256088
137791,Best Books Ever,122608,256088
30289,Best Books Ever,122608,256088
84119,Best Books Ever,122608,256088
3087,Best Books Ever,122608,256088
8337,Best Books Ever,122608,256088
4137,Best Books Ever,122608,256088
28260587,Best Books Ever,122608,256088
3777732,Best Books Ever,122608,256088
1421990,Best Books Ever,122608,256088
13104080,Best Books Ever,122608,256088
25480342,Best Books Ever,122608,256088
6150,Best Books Ever,122608,256088
17333223,Best Books Ever,122608,256088
77767,Best Books Ever,122608,256088
36336078,Best Books Ever,122608,256088
17788401,Best Books Ever,122608,256088
10637766,Best Books Ever,122608,256088
1326258,Best Books Ever,122608,256088
18423,Best Books Ever,122608,256088
13206828,Best Books Ever,122608,256088
222910,Best Books Ever,122608,256088
14743,Best Books Ever,122608,256088
24128,Best Books Ever,122608,256088
24800,Best Books Ever,122608,256088
11899,Best Books Ever,122608,256088
17125,Best Books Ever,122608,256088
121749,Best Books Ever,122608,256088
8492825,Best Books Ever,122608,256088
15749186,Best Books Ever,122608,256088
7664041,Best Books Ever,122608,256088
23522,Best Books Ever,122608,256088
32768522,Best Books Ever,122608,256088
59344312,Best Books Ever,122608,256088
11337,Best Books Ever,122608,256088
83144,Best Books Ever,122608,256088
15622,Best Books Ever,122608,256088
40597810,Best Books Ever,122608,256088
902,Best Books Ever,122608,256088
33385229,Best Books Ever,122608,256088
196970,Best Books Ever,122608,256088
30333938,Best Books Ever,122608,256088
111332,Best Books Ever,122608,256088
56728,Best Books Ever,122608,256088
29127,Best Books Ever,122608,256088
20758104,Best Books Ever,122608,256088
15783514,Best Books Ever,122608,256088
3869,Best Books Ever,122608,256088
17212231,Best Books Ever,122608,256088
7445,Best Books Ever,122608,256088
4134071,Best Books Ever,122608,256088
40909452,Best Books Ever,122608,256088
29588376,Best Books Ever,122608,256088
17841,Best Books Ever,122608,256088
305234,Best Books Ever,122608,256088
135836,Best Books Ever,122608,256088
3867,Best Books Ever,122608,256088
1582996,Best Books Ever,122608,256088
5439,Best Books Ever,122608,256088
65641,Best Books Ever,122608,256088
1923820,Best Books Ever,122608,256088
